r,F1 Score
0.5,0.9112262100000001
1.0,0.9501400999999998
1.5,0.88442168
2.0,0.87656778
2.5,0.8337634399999998
3.0,0.7326686200000003
3.5,0.58244288
4.0,0.4648561499999998
4.5,0.30537760199999997
5.0,0.25245587199999997
5.5,0.231480463
6.0,0.2077363049999999
6.5,0.16252264400000005
7.0,0.141346785
7.5,0.137629385
8.0,0.137629385
8.5,0.137629385
9.0,0.137629385
9.5,0.137629385
10.0,0.137629385
10.5,0.137629385
11.0,0.137629385
11.5,0.137629385
12.0,0.137629385
12.5,0.137629385
13.0,0.137629385
13.5,0.137629385
14.0,0.137629385
14.5,0.137629385
15.0,0.137629385
15.5,0.137629385
16.0,0.137629385
16.5,0.137629385
17.0,0.137629385
17.5,0.137629385
18.0,0.137629385
18.5,0.137629385
19.0,0.137629385
19.5,0.137629385
20.0,0.137629385
20.5,0.137629385
21.0,0.137629385
21.5,0.137629385
22.0,0.137629385
22.5,0.137629385
23.0,0.137629385
23.5,0.137629385
24.0,0.137629385
24.5,0.137629385
25.0,0.137629385
25.5,0.137629385
26.0,0.137629385
26.5,0.137629385
27.0,0.137629385
27.5,0.137629385
28.0,0.137629385
28.5,0.137629385
29.0,0.137629385
29.5,0.137629385
30.0,0.137629385
